Date,Close/Last,Volume,Open,High,Low
02/02/2021,$147.73,5315361,$148.64,$150.9687,$145.0063
02/01/2021,$146.79,5087523,$147.7,$150.2999,$144.55
01/29/2021,$146.13,4580776,$144.97,$149.21,$142.37
01/28/2021,$145.83,6281492,$145.13,$150.46,$143.42
01/27/2021,$144.96,7359190,$146.46,$150.64,$139.0211
01/26/2021,$147.79,6664735,$156.5,$158.67,$147.49
01/25/2021,$157.14,6611730,$160.85,$166.57,$156.7
01/22/2021,$159.75,3226076,$157.67,$160.41,$155.94
01/21/2021,$158.13,4351432,$155.78,$159.7,$153.14
01/20/2021,$155.79,5413733,$153.8,$156.73,$152
01/19/2021,$150.14,10387650,$152.55,$152.9375,$144.9001
01/15/2021,$157.81,5833618,$165.82,$166.08,$157.2369
01/14/2021,$165.25,7498483,$166.1,$171.09,$163.96
01/13/2021,$167.42,10618870,$156.5025,$169,$156.5025
01/12/2021,$156.04,6326459,$152.582,$157.36,$147.755
01/11/2021,$152.34,4623984,$156.771,$159.12,$152.01
01/08/2021,$158.88,6248413,$155.82,$159.03,$152.27
01/07/2021,$154,6583631,$145.651,$154.47,$145.21
01/06/2021,$143.76,7748340,$144.36,$144.97,$140.7381
01/05/2021,$148.53,4883013,$145.74,$149.7799,$144.47
01/04/2021,$145.96,7911635,$152.51,$152.78,$143.09
12/31/2020,$151.72,5449245,$155.01,$155.22,$150.62
12/30/2020,$154.96,6802449,$150.77,$155.2,$148.33
12/29/2020,$150.1,9340584,$150,$154.11,$146.37
12/28/2020,$152.18,10718960,$164,$164.4,$151.67
12/24/2020,$162.72,6830914,$161.9,$167.37,$161.3
12/23/2020,$162.76,12869000,$160.6,$163.584,$154.2501
12/22/2020,$161.21,40111440,$159.2,$166.23,$155.4012
12/21/2020,$144.39,14272930,$141.795,$144.88,$137.77
12/18/2020,$139.84,32497810,$137.88,$142,$135.6
12/17/2020,$136.8,10599750,$133.97,$137.67,$133.43
12/16/2020,$134,14646750,$128.7,$134.22,$128.51
12/15/2020,$127.78,9907035,$122.02,$127.81,$119.78
12/14/2020,$121.91,14734200,$118.01,$124.86,$117.75
12/11/2020,$117.1,6493917,$117.99,$119.44,$114.59
12/10/2020,$117.99,9688403,$109.53,$119.1296,$108.18
12/09/2020,$110.79,12106720,$117.65,$120.3121,$110.1054
12/08/2020,$118.25,9196222,$115.92,$118.55,$113.0612
12/07/2020,$116.63,6044165,$114.07,$117.145,$113.12
12/04/2020,$114.45,7346751,$115.25,$115.7,$111.9293
12/03/2020,$116.2,6989696,$112.92,$116.25,$112.73
12/02/2020,$113.18,11614840,$110.83,$117.75,$110.2
12/01/2020,$112.03,10171750,$113.73,$115.66,$110.3
11/30/2020,$116.35,13468560,$110.03,$116.52,$105.69
